Lang	Family	NINE	ONE	SEVEN	SIX	TEN	THREE	TWO	EIGHT	FIVE	FOUR
25982	bhw	4   4   4   4   	5   5   5   5   5   5   	6   	7   7   	8   8   8   8   	9   9   9   9   9   	10   10   10   10   	1   	2   2   	3   2   
138757	bhw	4   	5   	6   	7   7   	8   	9   	10   	1   	3   2   	3   
136712	bhw		5   5   5   5   5   22   	6   	7   	8   31   	9   	10   	1   	2   2   	25   
85734	bhw	4   4   	5   5   5   	6   6   	2   7   7   	8   	9   9   	10   	1   1   	2   2   2   3   	3   3   3   
56513	bhw	4   4   4   	5   21   	6   6   	7   	8   8   	9   9   	10   10   10   10   23   	1   	2   3   	3   3   
95259	bhw	4   	5   5   	6   	7   	8   	9   	10   	1   	2   	3   
126725	bhw	4   	5   22   	6   6   	7   	8   	24   	10   10   	1   	3   2   2   2   	3   
136711	bhw	4   4   	5   5   5   5   	6   	7   	8   8   	9   	10   	1   		3   3   3   
81576	bhw	4   	5   5   	6   	7   	8   	9   	10   10   10   10   	1   	2   	3   
84229	bhw	4   	5   5   	6   6   	7   7   	8   	9   	10   	1   	3   3   2   	3   
136710	bhw	4   4   4   	5   	6   6   	7   	8   	9   	10   10   10   10   	1   	2   2   	3   
87209	bhw	4   4   4   	5   5   	6   6   6   	7   	8   	9   9   	10   	1   	3   2   9   3   2   	3   3   3   3   
128824	bhw	4   	5   	6   	7   	31   	9   	10   10   	1   	3   	3   
102292	bhw	4   	5   	6   6   	7   7   7   	8   	9   	10   	1   	7   	3   
138755	bhw	4   	5   	6   	7   	8   	9   	10   10   10   	1   1   1   	2   2   	3   
138783	swe	30   4   	21   	28   	27   	31   8   	24   	23   10   	29   1   	2   26   2   2   	3   
85730	swe	30   30   	21   	28   	27   	8   8   	24   	23   10   	29   1   29   	2   	25   3   25   3   
136708	bhw	4   	5   		7   	8   	9   	10   	1   	2   	3   
132786	swe	4   	5   22   	28   	7   7   	8   8   	24   24   	23   10   	29   	26   	25   3   
113296	bhw	4   	5   	6   	7   27   	8   8   31   	9   	10   	1   	2   2   2   2   	3   
138781	swe	30   	21   5   5   5   21   	28   	27   	31   8   31   31   	24   9   	23   10   	29   29   1   	2   	25   25   
138780	bhw	4   4   	5   5   	6   6   28   	7   7   	8   	9   24   	10   10   10   10   	1   	2   	3   3   3   
136706	bhw	4   	5   	6   	7   	8   	9   	10   	1   1   	2   	3   
128821	bhw		5   5   	6   	7   	8   	9   	10   	1   	2   	3   
82892	swe	4   	21   5   	28   28   	27   	31   	24   	23   23   	29   	2   2   	25   
95255	bhw	4   	5   	6   6   	7   7   	8   	9   	10   	1   	2   2   	3   
136705	bhw	4   	5   5   	6   	7   	8   	9   9   9   	10   10   	1   	2   	3   3   
105680	bhw	4   30   4   4   	5   5   5   	6   28   6   	7   7   7   	8   	9   9   	23   	1   	2   26   	3   25   2   3   
53486	swe	30   30   	5   5   5   	28   6   	7   	8   8   8   8   	24   9   9   	23   23   	29   	26   2   	25   3   3   25   3   3   25   
50429	bhw	4   	5   	6   	7   	8   	9   	10   23   	1   	2   3   2   	3   3   
138779	bhw	4   	5   	6   	7   	8   	9   	10   23   	1   	2   	3   3   25   
128819	bhw	4   	5   	6   6   	7   	8   31   	9   	10   23   	1   	2   	3   
122775	bhw	4   4   	5   	6   	7   7   	8   8   	9   9   	10   10   	1   1   1   	3   3   	3   
138752	bhw	4   	5   5   	6   	7   	8   	9   9   9   	10   	1   	2   	3   
113289	bhw	4   	5   5   	6   	7   	8   	9   9   24   	23   	1   1   	2   2   2   	3   25   3   
98666	bhw	4   	5   5   	6   	7   	8   	9   9   	10   10   	1   	2   	3   
120884	bhw	4   	5   5   5   	6   	7   	8   	9   	10   10   10   	1   1   	2   2   	3   
81569	bhw	4   	5   	6   6   	7   	8   	9   9   	10   10   10   	1   	2   	3   
136765	bhw	30   	5   5   	6   	7   7   27   	8   8   	9   	10   	1   1   	2   	2   3   25   3   
88766	bhw	4   	5   	6   	7   	8   	9   9   	10   	1   	2   	3   
136763	bhw	4   	5   5   5   	6   6   	7   7   	8   	2   9   9   	10   	1   1   	2   2   3   3   	3   3   
105676	bhw	4   	5   	6   6   	7   7   	8   31   	9   9   9   	10   10   23   23   	1   1   	2   	3   3   
107685	bhw	4   4   	5   	6   	7   	8   	9   9   	10   	1   	2   	3   3   
102284	swe	4   	21   	28   	7   	31   	24   	23   	29   	2   2   	3   
82889	swe	30   4   	21   5   5   22   5   5   	28   28   	27   7   	31   8   	9   9   	23   10   	29   1   	2   	25   3   3   
138750	swe	30   	5   21   	28   	27   27   7   	8   8   	24   	23   24   	29   	2   	3   
84219	bhw	4   4   	5   5   5   5   5   	6   6   	7   27   	8   8   	9   9   	23   	1   1   	26   2   2   	3   3   25   25   
