Lang	Family	NINE	ONE	SEVEN	SIX	TEN	THREE	TWO	EIGHT	FIVE	FOUR
124039	bhw	4   	5   	6   6   	7   7   	8   	9   9   9   	10   10   10   	1   	2   	3   
141855	bhw	4   	5   5   5   	6   	7   	8   	9   	10   	29   	2   	3   
141854	swe	30   4   	5   5   	28   	7   	31   	24   9   	10   10   	29   	3   	3   3   3   
92776	bhw	4   	5   9   22   	6   	7   7   7   7   	31   	9   9   9   	10   	1   1   1   1   	2   	3   3   3   
92775	bhw	4   	5   	6   	7   7   	8   	9   	10   	1   	7   	3   25   
141853	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
112574	swe	30   	5   	28   	7   	8   	9   2   	23   10   10   23   	29   1   	2   	25   3   3   3   
140000	bhw	4   	5   	6   	7   	8   8   	9   	10   	1   	2   	3   
141852	bhw	4   	5   	6   6   	7   7   7   	8   8   	9   	10   	1   	2   	3   
80758	bhw	4   	5   	6   	7   7   7   	8   	9   	10   10   10   10   	1   1   	2   2   	3   
132012	bhw	4   	5   21   	6   6   6   	7   	31   	9   	10   10   	1   	2   	3   3   
105037	bhw	4   	5   	28   	7   	8   		10   	1   	2   	3   
99770	bhw	4   	5   	6   		8   	9   	10   	1   	7   	3   
106992	bhw	4   	5   5   5   5   5   5   	6   	7   7   7   	8   	9   9   	10   23   	1   	3   2   	3   
141851	bhw	4   4   	5   5   5   5   5   	6   6   	7   7   	8   	9   9   	10   23   	1   	3   2   	3   
141850	bhw	4   30   	5   5   	6   6   6   	7   7   7   	8   	9   9   	10   10   10   10   	1   1   1   1   1   	2   2   2   	3   3   3   3   
58776	bhw	4   4   30   	5   5   21   5   21   	6   	7   7   27   7   	8   8   8   31   	3   9   9   	10   10   23   	1   1   1   	2   	3   3   3   3   3   3   25   
141849	bhw	4   	5   5   5   	6   	7   7   3   	8   	9   9   9   	10   10   	1   1   	2   	3   3   3   3   3   25   
82100	bhw	4   4   	5   5   22   	6   6   	7   	8   8   	9   9   	10   	1   	2   	3   
80755	bhw	4   	5   5   	6   	7   7   	8   	9   	10   	1   	2   	3   3   
97989	bhw	4   	21   5   21   21   	28   	7   	8   	9   24   	10   	1   1   1   	7   	3   
141848	bhw	30   	5   5   	6   	7   7   7   7   	8   	9   9   	10   	1   1   1   	2   2   26   	3   3   
141847	bhw	4   	5   5   5   	6   	7   7   7   	8   8   8   8   8   	9   9   	10   10   10   	1   	3   2   2   	3   
82098	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
125977	bhw	4   	5   5   	6   		8   	9   24   	10   	1   1   29   	2   	3   3   
82097	bhw	4   4   4   	5   	6   	7   7   	8   	9   	10   	1   	2   	3   
76643	bhw	4   4   	5   10   	6   	7   	8   8   	9   	10   	1   	26   2   	3   3   
77989	bhw	4   	5   5   	28   	7   7   27   7   7   	8   8   	9   	9   	1   	26   	3   
118246	bhw	4   	5   5   	6   6   	7   	8   8   	9   	10   10   10   	1   1   	2   2   	3   3   
76642	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
141846	bhw	4   4   	5   	6   	3   	8   	9   9   9   	10   	1   	2   	25   3   3   
139995	bhw	4   	5   	6   	7   	8   	9   9   9   	10   10   10   10   10   	1   	2   	
67982	bhw	4   	5   5   5   	28   	7   	8   	9   	10   10   	1   1   		7   
135947	bhw	4   1   	5   5   	6   6   	7   	8   	9   9   	10   	1   1   1   	2   	3   
77987	bhw	4   	5   	6   	7   	8   	9   9   	10   	1   1   	2   	3   
130059	bhw	4   	5   	6   	7   	8   8   	9   	10   	1   	2   	3   2   25   
88034	bhw	4   4   	5   5   5   	6   6   6   	7   7   7   7   	8   8   31   	9   	10   23   	1   	2   26   	3   3   3   
92766	bhw	4   4   4   	5   5   5   5   5   	6   	7   7   7   7   	8   	9   9   	10   10   10   	1   	2   2   2   	3   
128042	bhw	4   30   	5   21   5   5   22   5   	6   6   	7   7   	8   	9   	10   10   10   10   	1   	2   7   2   	3   
88033	swe	30   	22   	6   	7   	31   8   	24   24   	23   	29   	2   	3   
110669	bhw	4   	5   5   	6   	7   7   	8   	9   	10   	1   	2   	3   3   
141845	bhw	4   4   	5   5   	6   6   	7   	8   	9   	10   	1   	2   	3   
141844	bhw	4   	5   	6   	7   	8   	9   9   	10   	1   	2   	3   
76639	bhw	4   4   	5   5   5   21   	6   	7   	8   	9   	10   	1   	2   	3   2   
86521	bhw	4   	5   21   5   	6   	7   7   7   7   	8   8   	9   	10   10   10   	1   	2   2   	2   3   
116326	bhw	4   	5   5   5   	6   6   	7   7   7   7   	8   8   31   	9   	10   	1   	2   	3   3   
135943	bhw	4   	5   	6   	7   	8   	9   	10   	1   	3   	3   
132002	bhw	4   4   	5   	6   	7   7   7   7   	8   8   8   	9   	10   10   	1   1   	2   	3   3   
79334	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
132001	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
137940	bhw	4   4   	5   	6   6   	7   	8   	9   	10   	1   	2   	3   
139990	bhw	4   	5   	6   6   6   	7   7   	8   8   	9   	10   	1   	2   3   	3   3   3   
66506	bhw	4   22   30   	5   5   	6   6   	7   7   	8   8   8   	9   	10   23   10   	1   	2   2   2   	3   25   3   
124030	bhw	4   	5   5   	6   6   	7   7   	8   	9   	10   10   10   	1   1   1   1   1   	2   2   	3   3   
105033	bhw	4   	5   	6   	7   	8   	9   24   	10   10   10   23   10   	1   	2   	2   
89585	bhw	4   	5   5   	6   6   6   	7   27   	8   	9   	10   10   	1   	2   2   	3   
141843	swe	4   	21   	28   	27   	31   	24   	23   	29   	26   2   	25   
139988	bhw	4   	5   	6   	3   	8   	9   		1   	9   	3   
135941	bhw	4   	5   21   	6   	7   	8   	9   9   9   	10   10   10   10   	1   	2   	3   
118241	bhw	4   	5   	6   	7   	8   	9   	10   10   	1   	2   2   2   	3   
103362	bhw	4   	5   	6   	7   	8   	9   	10   10   10   23   	1   	2   2   	3   
130053	bhw	4   	5   5   5   5   	6   6   6   	7   7   7   	8   8   8   8   8   8   	9   9   9   	10   	1   1   1   	3   2   2   	2   3   
128038	bhw	4   	5   21   5   5   5   	6   	7   7   	8   8   31   	9   	10   	1   29   	2   	3   25   3   
135940	bhw	4   	5   5   	6   	7   	8   8   8   	9   9   	10   	1   1   	3   	3   3   3   3   3   
94563	bhw	4   4   4   	5   	6   	7   	8   8   	9   	10   	1   	2   2   	3   
139987	bhw	4   30   30   	5   5   5   	6   	7   	8   	9   	10   23   	1   	2   2   7   	3   
70927	bhw	4   4   	5   	6   6   	7   27   7   	8   	9   9   	10   10   	1   	2   2   	3   3   
110663	bhw	4   	5   5   5   5   5   5   	6   6   6   6   6   6   	7   	8   8   	9   24   	23   	1   	2   2   	3   3   
141842	bhw	4   30   4   4   	5   21   5   5   5   	6   28   6   	7   7   	8   8   8   	9   9   24   	10   	1   29   	2   26   2   	3   25   
141841	bhw	4   	5   5   5   5   5   	6   6   6   6   6   	7   	8   8   	9   24   	23   	1   	2   2   	3   
122017	swe	30   	22   	6   	27   7   7   	31   	9   	23   	1   1   1   	2   	3   
120160	bhw	4   	5   5   22   	6   6   	7   	8   8   	9   	10   	1   1   	2   	3   
137935	bhw	4   4   	5   	6   6   	7   7   7   7   	8   8   8   8   8   8   8   	9   	10   10   	1   	2   2   	3   2   
141840	bhw	4   	5   5   	6   6   	7   7   	8   	9   	10   	1   	2   3   	3   
139986	swe	30   		28   	27   	31   	24   	23   23   10   	29   	26   	25   
139985	bhw	4   	5   5   5   	6   	7   7   	8   	9   9   	10   10   	1   1   	2   2   2   2   2   26   2   	3   3   
141839	bhw	4   	5   5   	6   	7   	8   8   8   8   8   8   	9   	10   	1   	2   	3   3   3   3   3   
137933	bhw	30   	5   	6   	7   	8   	9   24   9   	10   10   	1   	2   	3   
77975	swe	30   4   4   	21   5   22   5   5   	6   6   	27   27   	31   31   8   8   8   	24   9   	23   10   	29   1   	2   2   2   	25   26   3   3   25   25   2   3   
141838	bhw	4   	5   	6   6   	7   7   	8   8   	9   	10   	1   	2   	3   
137932	bhw	4   4   	5   	6   6   6   	7   2   	8   	9   	10   10   	1   1   	2   	3   
96252	bhw	4   	5   	6   	7   	8   	9   	10   	1   1   	2   2   	3   
130047	bhw	4   4   	5   	6   	7   	8   	9   	10   	1   1   	3   	3   
89584	bhw	4   	5   	6   6   	7   7   7   	8   	9   	10   10   10   	1   	2   	3   
133963	bhw	4   	5   5   5   5   	6   	7   	8   	9   9   	10   10   10   10   	1   	2   	3   
128035	bhw	4   	5   	6   6   	7   	8   8   	9   	10   9   	1   	2   	3   
99759	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
135934	bhw	4   4   4   4   	5   5   5   5   5   5   21   	6   6   6   28   6   6   6   6   6   	7   	8   8   31   31   	9   9   9   	23   10   10   10   	1   1   29   	2   2   3   2   2   2   	3   3   25   3   3   3   25   
105029	bhw	4   	5   5   5   5   	6   	7   	8   	9   	10   	1   	2   	3   
118230	bhw	4   	5   5   5   5   5   	6   6   	7   	8   8   	9   9   	10   10   	1   	3   3   	3   3   3   
137930	bhw	4   	5   	6   	7   7   7   7   	8   8   	9   	10   10   10   10   10   	1   	3   	3   
114439	bhw	4   	5   5   5   5   5   5   	6   6   	7   	8   8   	9   9   	10   23   10   10   10   	1   1   1   	2   2   2   2   	3   
139984	bhw	4   4   	5   5   	6   	7   7   	8   8   	9   	10   23   	1   1   	2   2   2   	3   3   3   3   
120158	bhw	4   	5   	6   6   	7   7   	8   	9   9   	10   	1   	3   2   	3   
139983	bhw	4   	21   21   21   	6   	7   	8   8   	9   	23   	1   1   1   	26   26   	3   
75213	bhw	4   	5   5   	6   	7   7   	8   	9   	10   	1   	2   2   	3   
139982	bhw	4   	5   5   	6   	7   7   	8   	9   	10   10   	1   	2   	
141837	bhw	4   	5   5   	6   	7   	31   	9   	10   9   	1   	2   	3   
141836	bhw	4   	5   5   5   	6   6   	7   	8   8   8   	9   	10   	1   	2   	3   
141835	bhw	4   	5   	6   	7   	8   	9   	10   10   	1   	2   	3   
101564	bhw	4   	5   5   21   	6   	7   	31   	9   	10   9   	1   	2   	3   3   
82079	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   3   3   
139981	bhw	4   4   	5   	6   6   6   6   	7   	8   	9   	10   10   	1   1   	2   2   	3   
130046	swe	30   		28   	27   	31   	24   	23   	29   	26   	25   
122009	swe	4   	21   5   5   	28   	27   7   	31   8   	24   24   24   	23   23   10   	29   1   1   	26   	25   
125962	bhw	4   4   4   30   	5   5   5   5   22   5   5   	6   6   6   	7   7   27   	8   8   8   8   8   8   8   8   	9   9   	10   10   10   	1   	2   2   	3   3   3   3   
137928	bhw	4   	5   5   	6   6   	27   	31   	9   	10   10   	1   	2   2   	3   3   3   
141834	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   2   2   	3   
124019	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
125958	bhw	4   4   	5   	28   6   	7   	8   8   	9   	10   	1   	2   7   2   2   	3   3   3   
103349	bhw	4   	5   5   	6   6   	7   	8   	9   	10   10   	1   	2   	3   
139978	bhw	4   	5   9   	6   	7   	8   8   		10   10   	1   	2   	3   
139977	bhw	4   	5   	6   6   	7   	8   	9   9   	10   	1   	2   2   	3   
94557	bhw	4   	5   	6   	7   7   	8   	9   9   	10   5   10   	1   	3   	3   3   
118226	bhw	4   4   	5   21   5   5   5   	6   6   	7   7   7   7   7   7   7   	8   	9   9   	10   10   	1   1   1   	2   2   2   	3   3   
141833	bhw	4   	5   	6   	7   	8   	9   	10   10   	1   	2   	3   
141832	bhw	4   	5   	6   	7   	8   	9   	10   10   10   10   	1   	2   	3   
131983	bhw	4   	5   5   5   5   	6   	7   7   7   	8   	9   9   9   	10   10   	1   	3   2   2   	3   3   
141831	bhw	4   	5   	6   	7   7   	8   	9   	10   10   	1   	2   	3   
118223	bhw	4   	22   5   5   	6   	7   7   7   	8   	9   	10   10   10   	1   	2   	3   
131982	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
139975	bhw	4   	5   5   	6   6   	7   	8   	9   	10   10   	1   	3   	3   
84990	bhw	4   4   	5   	6   6   	7   	8   8   	9   	10   	1   	2   2   2   	3   3   
92744	bhw	4   	5   	6   	27   	8   31   	9   	10   23   	1   29   	26   	3   3   
112554	bhw	4   	5   5   5   5   5   5   	6   	7   7   27   27   	8   8   	9   	10   10   	1   29   1   	3   26   	3   25   
91182	bhw	4   	5   5   	6   	7   7   7   7   	8   8   8   	9   	10   10   10   	1   	2   	3   
77963	bhw	4   	5   5   	6   6   	7   7   27   7   	8   	9   9   	10   	1   	2   	7   
137924	bhw	4   	5   5   5   5   21   	6   	2   	8   8   8   8   	9   	10   10   10   	1   1   	2   	25   
141830	bhw	4   	5   5   	6   	7   7   7   	8   8   	9   	10   10   10   10   	1   1   	2   2   2   	3   3   
67960	bhw	4   	5   	6   	7   	8   8   	9   	10   	1   1   	2   	3   
139973	bhw	4   	5   21   5   5   	6   	7   	8   	9   		1   1   	2   	3   
139972	bhw	4   4   4   	5   5   	6   6   6   	7   	8   8   	9   9   9   9   9   	10   10   	1   1   	2   3   2   	3   3   3   
141829	swe	30   30   	22   21   5   5   5   	28   28   6   	27   7   	31   	24   9   	23   10   	29   1   	26   3   26   2   	3   3   
139971	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
112552	bhw	4   4   4   	5   5   5   5   	6   	7   	8   8   	9   	10   	1   	2   7   	3   3   
137922	bhw	4   	5   5   5   5   5   22   	6   6   	27   27   7   7   	8   31   	9   	10   	1   1   	2   2   2   2   2   26   26   	3   
114428	bhw	4   	5   	6   	7   	8   	9   	10   9   10   	29   29   	2   2   	3   
131976	bhw	4   4   	5   5   5   	6   6   	7   	8   8   31   	9   	10   10   	1   1   	3   	3   
106959	bhw	4   	5   5   5   	6   	7   	8   		10   10   	1   	2   	2   
141828	bhw	4   	5   	6   	7   	8   	9   	10   	1   	3   2   2   	3   
141827	bhw	4   	5   	6   	3   	8   	9   	10   	1   	9   	3   
84987	bhw	4   	5   21   	6   6   	7   7   	8   8   8   8   	9   9   	10   10   10   	1   1   1   	2   	3   3   3   3   3   
131974	bhw	4   	5   	6   6   	7   7   	8   	9   	10   10   10   	1   	2   	3   
139970	bhw	4   	5   	6   6   	7   7   	8   	9   9   	10   	1   	2   2   2   	3   
139969	bhw	4   	5   5   5   5   	6   6   6   6   	7   7   7   	8   8   	9   	10   10   	1   29   1   	2   	3   3   3   3   3   
133952	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   2   	3   
118218	swe	4   	5   5   5   5   	28   6   	7   	8   2   8   	9   	10   	1   	2   	25   3   
77959	bhw	4   	5   5   2   	6   	7   	8   	9   	10   10   10   	1   	2   	3   
139968	bhw	4   4   	5   21   22   	6   	7   7   	8   8   8   8   	9   9   9   	10   10   10   10   10   	1   	2   	3   
131971	swe	4   	21   5   5   	28   	27   7   	31   8   	24   24   24   	23   23   10   	29   1   1   	26   	25   
137920	bhw	4   	5   5   5   5   5   	6   	7   7   	8   	9   9   	10   23   	1   	3   	3   
141826	bhw	4   4   30   4   	5   5   5   22   	6   	27   7   7   	31   31   	9   	23   23   10   10   23   	1   	2   2   2   	3   3   
125945	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   2   2   	3   
133950	bhw	30   	5   5   	6   	7   	8   31   8   8   8   	9   9   	10   	1   	26   2   	3   25   
139967	bhw	4   4   4   	21   22   5   	6   6   	27   7   7   	8   8   	9   9   	10   10   10   	1   	2   	3   
139966	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
137919	bhw	4   	5   	6   	7   	8   8   	9   	10   	1   	2   	3   2   
133948	bhw	4   4   4   	5   5   	6   	7   	8   8   	9   9   	10   	1   	2   	3   3   3   
79305	bhw	4   4   4   30   	5   	6   	7   	8   	9   9   	10   10   	1   	2   2   	3   3   3   3   
139965	bhw	4   4   	5   	6   6   	7   7   	8   	9   	10   	1   	3   3   2   	3   
124012	bhw	4   4   	5   21   	6   	27   	8   31   	9   9   	23   	1   1   	2   2   2   2   26   	3   
116309	bhw	4   30   	5   	6   6   28   	27   	8   8   	9   	23   10   	1   	2   2   	3   
135917	bhw	4   4   4   	5   5   5   5   22   22   21   	6   28   6   6   	7   7   7   7   	8   31   31   	24   	10   	1   	2   2   	3   
121994	bhw	4   	5   	6   28   	27   	8   	9   	10   	1   1   	2   26   	3   
82068	bhw	30   30   4   	5   	6   	7   	8   	9   	10   10   10   10   10   	1   	2   2   	3   
141825	bhw	4   4   	9   5   22   	6   6   	7   7   	8   	9   9   9   	10   	1   	2   2   2   2   26   	3   
137916	bhw	4   4   4   30   4   30   	5   21   5   	6   6   6   	27   	8   	9   9   	10   	1   	2   2   2   2   	3   3   
141824	bhw	4   	5   5   	6   	7   	8   	9   9   	10   10   10   10   	1   	2   	3   3   
88008	bhw	30   	5   5   5   	6   	27   	31   	9   	10   	1   	2   	3   
141823	bhw	4   	5   5   5   5   5   	6   6   	7   	8   		10   10   	1   	3   	3   9   3   3   3   
139963	bhw	4   	5   5   5   	6   	7   	8   8   8   8   	9   	10   10   	1   	2   	3   
41818	bhw	4   	5   5   5   	6   	7   	8   8   8   8   	9   	10   10   	1   1   1   1   	2   3   2   	3   3   
135916	bhw		5   	6   	7   	8   	9   9   9   	10   10   10   	1   	2   	3   3   25   
99740	bhw	4   	5   22   5   	6   	7   	8   8   	9   	10   	1   	2   2   	3   3   
139960	bhw	4   	5   	6   	7   	8   8   	9   	10   	1   	2   	3   
139959	bhw	4   4   	5   21   5   5   5   	6   6   	7   7   7   7   7   	8   	9   9   	10   10   	1   1   	2   2   2   	3   3   
84978	bhw	4   4   30   4   	5   5   5   	6   	7   7   	31   31   	9   	23   23   10   10   23   	1   	2   2   2   	3   
139958	swe	4   	5   	6   	27   	31   8   8   8   	24   	23   	29   29   	2   	25   3   
97960	bhw	4   4   4   4   	5   5   21   	6   	7   	8   8   8   8   	9   	10   10   10   	1   	2   3   	3   3   3   3   
108891	bhw	4   30   	5   5   5   5   	6   	7   	31   	24   	10   	1   1   	2   	3   
139956	bhw	4   	5   5   	6   	7   	8   	9   	10   10   	1   	2   2   	3   3   
130032	bhw	4   	5   5   5   	6   6   28   	7   	31   	9   	10   10   	1   1   	2   2   	3   
114410	bhw	4   	5   5   	6   	7   	8   	9   	10   	1   	2   	3   
141822	bhw	4   4   30   	5   21   5   5   	6   6   	7   	8   	9   	10   	1   1   	2   2   	3   
137912	bhw	4   	5   5   	6   	7   	8   8   	9   9   	10   	1   	2   	3   
139954	bhw	4   	5   5   	6   	7   	8   8   	9   	10   	1   	2   	3   
118210	bhw	4   	5   	6   	27   	8   	9   	10   	1   1   	2   2   	3   3   
137910	bhw	4   4   4   	5   5   5   5   	6   6   	7   7   7   7   	8   8   8   	9   9   	10   10   	1   	2   2   2   	
135909	bhw	4   4   	5   	6   6   	7   7   7   7   7   	8   	9   9   9   	10   10   	1   	2   7   	3   
131962	bhw	4   4   	5   21   5   	6   6   	7   7   27   7   	8   	9   	10   23   	1   	2   	3   3   3   3   3   
72400	bhw	4   4   	5   21   	6   28   	7   	8   	9   9   9   9   	10   10   	1   	2   2   	3   
101544	bhw	4   4   	5   5   	6   	7   7   	8   	9   9   	10   10   	1   	2   2   2   	3   
91174	bhw	4   	5   5   5   5   5   	6   	7   7   	8   	9   9   9   	10   23   10   	1   	3   	3   
141821	bhw	4   4   30   4   30   	5   5   5   21   5   21   5   5   5   	6   	7   7   27   	8   8   	9   9   9   	10   10   10   10   	1   	2   2   26   26   	3   3   3   3   3   
67942	bhw	4   4   	5   5   	6   	7   7   7   7   	8   8   	9   	10   10   	1   1   	2   2   	2   
88001	bhw	4   	5   5   	6   	7   	8   	9   	10   10   10   	1   	2   2   	3   
130026	bhw	4   	5   	6   	3   	8   	9   	10   	1   	9   	3   
141820	bhw	4   	5   5   5   	6   6   6   	7   	8   8   	9   	10   10   	1   1   	2   	3   3   3   3   
94544	bhw	4   4   4   	5   5   5   5   5   	6   6   	7   3   	8   8   	9   9   	10   10   10   	1   	3   2   2   2   2   2   	3   2   3   
83453	bhw	4   	21   22   	6   6   6   	7   	31   8   	9   24   9   9   9   	10   	1   	2   	25   3   3   
116299	swe	4   	22   5   	28   	27   	31   	24   	10   	29   	26   	3   
91172	swe	4   4   	22   	6   	27   7   	31   	24   	23   	29   	26   26   	25   
131961	bhw	4   	5   5   	6   	7   	8   	9   		1   	3   	3   
22237	bhw	30   	5   21   	6   6   	7   	8   31   8   31   8   	9   24   24   	10   	1   1   	2   2   	3   3   3   
141819	bhw	4   4   	5   5   	6   	7   	8   	9   	23   	1   	3   2   	3   3   
141818	bhw	4   4   4   4   	5   5   5   	6   6   6   	7   7   	8   8   	9   	10   10   10   10   	1   	3   	3   3   3   
92732	bhw	4   30   	5   21   5   5   5   5   	6   6   6   	7   7   7   	8   8   8   	9   	10   10   10   10   	1   	2   7   7   	3   3   3   
125936	bhw	4   	5   5   	6   6   6   	7   	8   	9   	10   10   	1   	2   2   	3   3   
137907	bhw	4   	5   5   5   	6   28   	7   7   	8   8   8   	9   	10   10   	1   	2   	3   
137906	bhw	4   	5   	6   	7   	8   	9   	10   	1   1   	2   	3   
137905	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	
88000	bhw	4   	5   5   	6   	7   	8   8   8   	9   9   	10   10   10   10   	1   1   	2   2   	3   3   
121982	bhw	4   	5   	6   	7   	8   	9   	10   10   	1   	2   2   	3   9   
125935	bhw	4   	5   	6   	7   	8   	9   9   	10   	1   	2   	3   
141817	bhw	4   4   4   	5   5   5   5   22   22   21   	6   28   6   6   	7   7   7   7   	8   31   31   	24   	10   	1   	2   2   	3   
110630	bhw	4   30   4   	5   5   5   	6   6   6   6   6   	7   7   7   	8   8   8   8   8   31   8   	9   9   	10   10   	1   1   1   	2   2   2   2   2   26   	3   3   3   3   3   
141816	bhw	4   	5   	6   	7   7   	8   	9   	10   	1   1   	2   	25   
83451	bhw	4   4   	5   	6   6   	7   	8   	9   	10   10   	1   1   	3   	3   
141815	bhw	4   	5   5   5   	6   6   	7   	8   	9   	10   10   10   	1   	2   2   2   	3   3   3   
139952	bhw	4   4   4   	5   5   5   	6   6   	7   7   	8   8   8   8   	9   9   9   	10   10   10   10   	1   1   	2   3   2   	3   3   3   
128009	bhw	4   4   	5   21   	6   	7   		9   	10   	1   1   		3   3   3   
108880	bhw	4   	5   5   	6   	7   	8   	9   9   	10   	1   	2   	3   
108879	bhw	4   4   	5   	6   6   6   	7   7   	8   8   	9   9   	10   	1   1   	3   3   2   	3   3   3   3   3   
114406	bhw	4   	5   5   5   	6   	7   	8   8   	9   	10   	1   1   1   	2   3   	3   3   3   3   3   3   
133936	bhw	4   4   4   	5   5   21   22   5   	6   	7   7   	8   8   	9   	10   	1   1   	2   2   	3   3   3   3   
141814	bhw	4   	5   22   5   	6   	7   	8   8   	9   	10   	1   	2   2   	3   3   
116293	bhw	4   30   4   	5   	6   6   6   	7   7   27   27   	8   8   8   	9   	10   10   	4   1   29   1   	2   2   2   	3   3   25   3   
60237	bhw	4   4   	5   5   5   5   5   	6   6   6   6   	7   7   	8   8   	9   9   9   9   9   	10   10   10   	1   	2   3   	3   3   3   3   
141813	bhw	4   4   	5   5   5   5   	6   	7   7   	8   	9   9   9   	10   23   	1   1   	2   2   2   	3   
133935	bhw	4   	5   21   	6   6   	7   	31   	9   		1   	2   	3   3   
80720	bhw	4   4   	5   5   21   5   5   	6   6   	7   27   	8   8   8   8   	9   9   9   	10   	1   1   1   	2   	3   3   
82053	bhw	4   4   	5   5   5   5   5   	6   	7   7   7   7   7   7   	8   8   8   	9   9   	10   10   10   10   	1   	2   2   2   2   	3   3   
128006	bhw	4   	5   22   	6   	7   	8   	9   	10   	1   1   	2   	3   
87997	bhw	4   	5   5   	6   6   	7   	8   	9   9   	10   	1   	2   3   	3   3   3   
86491	bhw	4   4   4   4   	5   5   5   5   5   5   5   5   22   5   	6   28   	7   7   	8   31   31   	9   9   9   	10   	1   1   1   	2   3   2   	3   3   3   3   
137901	bhw	4   	5   21   5   9   	6   	7   7   	8   	9   9   9   	10   10   10   10   	1   	2   	3   
76588	bhw	4   	5   5   5   	6   	7   7   7   	8   8   8   	9   	10   10   10   10   10   	1   	2   	3   3   
125932	bhw	4   	5   	6   	7   	8   	9   	10   10   10   10   	1   	2   	3   
64945	bhw	4   	5   	6   	7   	8   	9   	10   10   	1   1   	2   	3   3   
130021	bhw	4   	5   5   	6   	7   	8   	9   9   9   	10   10   10   10   	1   	2   	3   
82051	bhw	4   	5   	6   6   	7   27   	31   	9   24   	23   	1   	26   	3   3   
118201	bhw	4   	5   5   	6   	7   	8   	9   9   	10   	1   	2   	3   
97951	bhw	4   	5   5   	6   	7   3   	8   	9   9   	10   10   	1   	2   	3   3   3   25   
131955	bhw	4   	5   	6   	7   	8   	9   	10   10   	1   	2   	2   
141812	bhw	4   	5   5   5   5   5   5   	6   	7   7   	8   8   	9   	10   10   	1   	2   3   	3   3   3   
133933	bhw	4   	5   5   	6   	7   	8   	9   	10   	1   	2   	3   
141811	bhw	4   4   	5   21   5   5   	6   6   	7   27   7   7   	8   	9   9   	23   	1   1   	2   	3   3   3   3   
114403	bhw	4   	5   	6   	7   	8   	9   9   	10   10   10   10   	1   	2   	3   
135902	bhw	4   4   	21   5   	6   	7   	8   	9   9   	10   	1   1   29   1   	26   2   26   2   2   	25   3   
89554	bhw	4   4   4   4   	5   5   5   5   	6   	7   7   7   	8   	9   	10   	1   	2   	3   
72390	bhw	4   	5   5   5   	6   	7   	8   8   	9   9   	10   10   	1   	2   	3   
135901	bhw	30   	22   5   	28   		8   	9   	23   10   	1   1   1   29   	26   	3   
133932	bhw	4   	5   5   	6   	3   	8   	9   	10   10   	1   	9   	3   
123994	bhw	4   	5   	6   	7   	8   8   	9   	10   	1   	2   3   	3   3   3   3   
130017	bhw	4   	5   5   5   5   5   	6   6   	7   	8   8   	9   9   	10   23   10   10   10   	1   1   1   	2   2   2   	3   
139951	bhw	4   4   4   	5   	6   6   	7   	8   	9   	10   	1   	2   2   	3   3   
141810	bhw	4   	5   5   5   	6   	7   	8   	9   	10   9   	1   	2   	3   
120132	bhw	4   	5   5   5   22   5   5   	28   	2   	8   8   8   	9   	23   10   	1   1   	26   2   2   2   	3   25   
135898	bhw	4   	5   	6   6   	7   7   	8   	9   	10   	1   	2   2   2   	3   3   3   3   25   
51018	bhw	4   4   	5   5   	6   6   28   	7   	8   8   	9   24   	10   	1   1   1   1   1   	2   2   	3   
123992	bhw	4   	5   	6   	7   	8   	9   	10   	1   	3   	
141809	bhw	30   	5   	6   	7   	8   	9   24   9   	10   10   	1   	2   	3   3   
82045	bhw	4   	5   5   	6   	7   	8   	9   	10   	1   	2   	3   
91159	bhw	4   	5   	6   6   	7   	8   8   	9   	10   10   	1   	2   	3   3   
91158	bhw	4   30   29   4   	5   5   5   22   	6   	7   	8   8   31   	9   9   9   9   	10   	1   1   1   	2   2   	3   3   
121973	bhw	4   		6   	7   	8   	9   	10   	1   1   	2   	3   
137898	bhw	4   4   4   	5   5   5   5   5   	6   6   6   	7   	8   8   8   8   8   	9   9   9   9   24   	10   10   10   10   10   23   	1   1   	26   2   2   	3   3   3   
141808	bhw	4   	5   	6   6   	7   7   	8   	9   9   	10   10   10   	1   1   1   1   1   	2   2   2   	3   3   3   
137896	bhw	4   4   4   	5   5   22   	6   	7   	8   	9   	10   	1   1   	2   2   5   	3   3   3   25   
116285	bhw	4   4   4   30   4   4   	5   5   5   	6   	7   27   7   7   	8   8   8   8   	9   9   9   	10   10   	1   1   	2   2   	3   3   3   3   
