Lang	Latitude	Longitude	NINE	ONE	SEVEN	SIX	TEN	THREE	TWO	EIGHT	FIVE	FOUR
86	-2,39639639639623	25,4054054054063	i s w    	l eɪ e pʲ    	f i ʂ    	w ɑ̱ n e l    	s a l u f pʲ    	s ʂ ɑ̱ pʲ    	s u r u    	a w pʲ    	i r l    	s f a ʂ    
87	-7,35135135135118	30,3603603603613	s i t͈    	aː tsʰ e β    	i s cː    	aː t͈ n e m    	s ʌ m s u β    	cː s aː β    	β s u u    	t͈ a β    	i β m    	s ʌ s cː    
88	-5,99999999999983	28,5585585585595	s i w    	s o e d̪    	i f s    	w ə n e m    	s ɔˑ m f ia d̪    	s j ə d̪    	s ia tɕ ia    	w ɔˑ d̪    	i tɕ m    	f j ɔˑ s    
89	2,10810810810828	29,9099099099108	dː aːi ɔ    	g̊ eː    ɛ r̃    	n̊ ʉː    	ɛ ʃː k sː    	aːi t ɔ    	t r uɔ    	v t oː    	dʲ ɔ a    	p ɨ m    	p yː r a    
90	-6,90090090090073	27,2072072072081	s i w    	s o ɛ̃ ʃʰ    	i f j    	ə w n ɛ̃ m    	s ɔˑ m f u ʃʰ    	j ə kp ʃʰ    	s b̥ u u    	w ɔˑ ʃʰ    	i b̥ m    	kp f ɔˑ j    
91	-2,39639639639623	29,0090090090099	s i w    	o s au kʷ    	f i cː    	w o j au m    	s a f m u kʷ    	cː s o kʷ    	s r u u    	a w tʲ    	r i m    	s f a cː    
92	-6,90090090090073	26,7567567567577	s i kʼ    	o e tsʰ r    	f i cː    	kʼ o n e m    	s ɤ m f u r    	cː s o r    	s r u u    	a kʼ r    	r i m    	f s ɤ cː    
93	-8,25225225225208	24,5045045045054	i s w    	s o e r    	tˤ i cː    	w o e n m    	s a m tˤ au r    	cː t̪ o r    	r s au au    	a w r    	r i m    	tˤ t̪ a cː    
94	-10,5045045045043	21,8018018018027	s i rʲ    	o ɑˑ s r    	i f k    	rʲ o n ɑˑ m    	s f ɔˑ m u r    	k k o r    	s u r u    	ɔˑ rʲ r    	r i m    	f k ɔˑ k    
95	-9,60360360360343	24,5045045045054	i θ w    	o θ e r    	f i cː    	w e o n m    	θ m a f u r    	cː t̪ o r    	θ r u u    	a w r    	r i m    	f t̪ a cː    
96	-3,74774774774758	25,8558558558568	i s t    	s o ə g    	i tsʰ k    	t o n ə m    	s ə̆ m tsʰ ɔ̃ː g    	k o j r    	r s ɔ̃ː ɔ̃ː    	ə̆ t r    	r i m    	tsʰ j ə̆ k    
97	-4,64864864864848	30,3603603603613	s i w    	o s e ɗ    	i f k    	w ʃː o e m    	æ̃ s m f aːi ɗ    	k o j ɗ    	s ɗ ẽ ẽ    	æ̃ w ɗ    	ɗ i m    	f j æ̃ k    
98	-7,80180180180163	26,7567567567577	s i w    	o s ɛ̃ ʝ    	i f χ    	w uˑ n ɛ̃ m    	s ă f m ʌ ʝ    	χ q uˑ ʝ    	s b̥ u u    	ă w ʝ    	b̥ i m    	f q ă χ    
99	-4,64864864864848	29,0090090090099	i s w    	o s e ɗ    	i x k    	w ʃː o e m    	æ̃ s m x uɔ ɗ    	o k j ɗ    	s ɗ aːu aːu    	æ̃ w ɗ    	i ɗ m    	x j æ̃ k    
100	-2,39639639639623	26,3063063063072	i s t    	s œː ə r    	i f b    	t œː n ə m    	a s f m o r    	b œː j r    	r s ɔ̃ː ɔ̃ː    	a t r    	r i m    	f j ɒ b    
101	-7,80180180180163	27,2072072072081	i s kʼ    	o tsʰ e r    	f i cː    	o kʼ n e m    	s ʌ m f u r    	cː o s r    	s r u u    	ɛ̠ kʼ r    	r i m    	f s ʌ cː    
102	-5,09909909909893	25,8558558558568	i s t    	s ɛ̃ o r    	i tɕʰ k    	t ɛ̃ tɕ o m    	s õ m tɕʰ ɔ̃ː r    	k j ɛ̃ r    	r s ɔ̃ː ɔ̃ː    	a t r    	i r m    	tɕʰ j õ k    
103	3,00900900900918	25,8558558558568	aːi n ɔ    	g̊ eː    ʈ ɛ    	ʉː dʷ    	ɛ k s sː    	aːi t ɔ    	t r uɔ    	v t oː    	ɔ ʒ a    	bʲ ɯi ɓ    	bʲ yː r a    
104	-10,9549549549548	21,3513513513523	s au t    	s o aː r    	f au dʒ    	t o aː n m    	s m a f u r    	dʒ t̪ o r    	s r u u    	t a r    	au r m    	f a t̪ dʒ    
105	-5,99999999999983	29,4594594594604	s āː w    	s o e ɗ    	āː f n̪    	w ʃː e o m    	a s m f ẽ ɗ    	n̪ o j ɗ    	s ɗ ɔ̃ː ɔ̃ː    	a w ɗ    	āː ɗ m    	f j a n̪    
106	-4,64864864864848	23,6036036036045	i dː n    	dː a̘ o̞ː b    	i ŋ̩ k    	n a̘ n o̞ː m    	ʊː m dː ŋ̩ ɔ̃ː b    	k a̘ j b    	b dː ɔ̃ː ɔ̃ː    	ʊː n b    	i b m    	ŋ̩ j ɔʊ ˀl    
107	-8,25225225225208	26,7567567567577	i s t    	s o ə rʷ    	i z ⁿd    	t o n ə m    	a s z m ɔ̃ː rʷ    	ⁿd o j rʷ    	rʷ s ɔ̃ː ɔ̃ː    	t a rʷ    	rʷ i m    	z ɒ j ⁿd    
108	3,45945945945963	27,2072072072081	aːi n ɔ    	eː ʀ    e ʈ    	ɧ ʉː    	k e k sː    	aːi t ɔ    	t ʃʰ uɔ    	v t ʏ    	ɔ tː eˀ    	f ɨi mʷ    	f yː ʃʰ eˀ    
109	-11,4054054054052	18,6486486486496	ɲ i w    	ʌ o ɲ d̪    	i f k    	w o f ʌ ʡ    	ɲ ə kʰ f u d̪    	k j o d̪    	ɲ r u u    	ə w d̪    	r i ʡ    	j f ə k    
110	-6,90090090090073	21,8018018018027	s i ʐ    	eɪ s e pʲ    	f i cː    	ʐ eɪ n e dʲ    	s a dʲ f u pʲ    	s cː eɪ pʲ    	s u ʐ u    	ʐ a pʲ    	ʐ i dʲ    	s f a cː    
111	-5,99999999999983	27,2072072072081	zʲ i w    	u zʲ e r    	f i cː    	w u e n m    	zʲ ə m ɔ f r    	t̪ cː ɔ r    	zʲ r u u    	ə w r    	i r m    	f t̪ ə cː    
113	-1,94594594594578	25,4054054054063	ȵ aːi ɔ    	eː g̊    	ʉː qχː    	ɛ s k sː    	aːi t ɔ    	t h uɔ    	t v oː    	tː ɔ a    	f ɑi ɓ    	f yː h a    
114	-6,45045045045028	20,9009009009018	i s t    	s o eˑ l    	i ɖ k    	t o eˑ n m    	i s m ɖ ɔ̃ː l    	k o j l    	s l ɔ̃ː ɔ̃ː    	i t l    	i l m    	j ɖ i k    
115	-15,0090090090088	16,3963963963973	i s w    	o s u̘ d̪    	i dʑ k    	w o n u̘ m    	s ɔ̃ː m dʑ u d̪    	j k o d̪    	u s r u    	ɔ̃ː w d̪    	r i m    	dʑ j ɔ̃ː k    
116	2,10810810810828	26,3063063063072	n aːi ɔ    	eː ɽ    	ʉː ɧ    	ɛ s k tɕ    	ɸ aːi ɔ    	ɸ r uɔ    	v ɸ œː    	ɔ tː a    	ɛ f m    	f r yː a    
117	4,81081081081098	24,9549549549559	n aːi aˑ    	ɛ ʈ    	ʉː n̊    	s ɛ k sː    	z aːi aˑ    	r t uɔ    	v t oː    	aˑ tː a    	ɨ f m    	f yː r a    
118	-2,39639639639623	26,7567567567577	ʉ s t    	s œː ə ɦ    	ʉ f b    	œː t n ə m    	a s f m ɔ̃ː ɦ    	b œː j ɦ    	ɔ̃ː s ɦ ɔ̃ː    	a t ɦ    	ɦ ʉ m    	f j oi b    
119	-5,99999999999983	28,108108108109	s ɑː kʼ    	e o tsʰ r    	ʒ ɑː cː    	o kʼ n e m    	s a m ʒ u r    	cː s o r    	s r u u    	a kʼ r    	r ɑː m    	ʒ a s cː    
120	-3,74774774774758	28,108108108109	i s w    	o s ɑ̠ h    	i f k    	w ə n ɑ̠ m    	s ɔˑ m f ɐː h    	k ə kp ʃʰ    	s b̥ u u    	w ɔˑ h    	i b̥ m    	f kp ɔˑ k    
121	-6,45045045045028	29,9099099099108	s i w    	o ɬ œ d̪    	i f k    		s ə m f y d̪    	k ʔ o d̪    	s u r u    	ə w d̪    	i r m    	ʔ f ə k    
122	-1,94594594594578	27,2072072072081	r̃ i w    	o au r̃ kʷ    	i f cː    	w o j au m    	r̃ a m f u kʷ    	cː r̃ o kʷ    	r u r̃ u    	a w ts    	r i m    	r̃ f a cː    
123	2,55855855855873	20,0000000000009	s i t    	s ɐ o r    	i f k    	t o ⁿt i m    	a s m iɛ f r    	k o j r    	s r ẽ ẽ    	a t r    	r i m    	f j a k    
124	-3,74774774774758	30,8108108108117	ʀ i w    	u ʀ e r    	f i ŋ    	w u e ʁ ʮ    	ʀ ə ʮ f ɔ̃ r    	t̪ ɔ̃ ŋ r    	ʀ r u u    	w ə r    	i r ʮ    	f t̪ ə ŋ    
