Lang	Latitude	Longitude	NINE	ONE	SEVEN	SIX	TEN	THREE	TWO	EIGHT	FIVE	FOUR
248	-5,54954954954938	24,054054054055	s i w    	ɜː s ɛ̃ d̪    	f i ʃʰ    	w ø n ɛ̃ m    	s ă m f u d̪    	tʲ ʃʰ ø d̪    	s b̥ u u    	w ă d̪    	i b̥ m    	f tʲ ă ʃʰ    
249	-5,54954954954938	22,7027027027036	x i t    	x o ə r    	i ŋ̩ k    	t o n ə bː    	ĩ x m ŋ̩ ɔ̃ː r    	k o j r    	r ɔ̃ː x ɔ̃ː    	t ĩ r    	i r m    	ŋ̩ j ĩ k    
250	-8,70270270270253	26,7567567567577	s i t    	o s ə dː    	i kʷ ⁿd    	t o n ə m    	a s kʷ m ɔ̃ː dː    	ⁿd o j r    	r s ɔ̃ː ɔ̃ː    	t a dː    	r i m    	kʷ j ɒ ⁿd    
251	-5,99999999999983	22,2522522522532	s i w    	s o e d̪    	i f s    	w ə n æː m    	s ɔˑ m f ia d̪    	s j ə d̪    	s ia ʋ ia    	ɔˑ w d̪    	ʋ i m    	f j ɔˑ s    
252	-4,19819819819803	22,7027027027036	dʲ iː w    	o dʲ au pʲ    	iː f cː    	w au o n ʂ    	dʲ a ʂ f u pʲ    	cː dʲ o pʲ    	dʲ r u u    	w a pʲ    	e˞ r ʂ    	dʲ f a cː    
253	-6,90090090090073	29,4594594594604	lʲ i m    	lʲ ɐ o r    	f i cː    	w o ɐ n m    	lʲ a m f ɪ r    	cː t̪ o r    	lʲ r u u    	w a r    	i r m    	f t̪ a cː    
254	-6,90090090090073	28,5585585585595	s i ⁿd    	s o ɛ̃ ʃʰ    	i f k    	ⁿd ə ɬ ɛ̃ m    	s ɔˑ m f u ʃʰ    	k ə kp ʃʰ    	s c u u    	ɔˑ ⁿd ʃʰ    	i c m    	kp f ɔˑ k    
255	-2,39639639639623	28,5585585585595	s i w    	ʌ s iɔ sʲ    	f i cː    	w ʌ j iɔ m    	s a m f u sʲ    	cː s ʌ sʲ    	s r u u    	w a c    	r i m    	s f a cː    
256	-6,90090090090073	30,8108108108117	s i kʼ    	o cçʰ e r    	f i cː    	kʼ o n e m    	ʌ s m f u r    	cː s o r    	s r u u    	kʼ a r    	r i m    	f s ʌ cː    
257	1,65765765765783	25,4054054054063	ȵ aːi ʌ    	ɛ ʈ    	ɧ ʉː    	ɛ s s̪ sː    	t aːi ʌ    	t r uɔ    	v t oː    	ʌ tː a    	f ɑi dʲ    	yː f r a    
258	-9,60360360360343	20,9009009009018	s i w    	ɔʊ s e r    		w ɔʊ e n m    	s m a f u r    	cː t̪ ɔʊ r    	s r u u    	w a r    	r i m    	f t̪ a cː    
259	-4,64864864864848	29,9099099099108	i s w    	o s e ɗ    	i f k    	w ʃː o e m    	a s m f ẽ ɗ    	k o j ɗ    	s ɗ ɔ̃ː ɔ̃ː    	w a ɗ    	ɗ i m    	f j a k    
260	-5,54954954954938	28,108108108109	i s kʼ    	o tsʰ e r    	ʒ i cː    	o kʼ n e cçʲ    	s ə̆ cçʲ ʒ u r    	cː s o r    	s u r u    	ə̆ kʼ r    	i r cçʲ    	ʒ s ə̆ cː    
261	-4,19819819819803	28,108108108109	i s w    	s o ɛ̃ ʃʰ    	i f k    	w ə n ɛ̃ m    	s ɔˑ f m aːi ʃʰ    	ə k k ʃʰ    	s b̥ aːi aːi    	w ɔˑ ʃʰ    	i b̥ m    	f k ɔˑ k    
262	2,10810810810828	22,2522522522532	s i t    	s o ə r    	i f k    	t n o i m    	a s f m ɔ̃ː r    	k o j r    	s r ɔ̃ː ɔ̃ː    	a t r    	r i m    	f j a k    
263	-11,4054054054052	24,5045045045054	s ɑ w    	ɑˑ o s r    	ɑ f k    	w o n ɑˑ m    	s u m f u r    	k k o r    	s u m u    	u w r    	r ɑ m    	f k u k    
264	4,36036036036053	18,1981981981991	ɸ i w    	o e ɸ pʲ    	f i d̪    	o w n e ʕ    	ɸ e̠ f m u pʲ    	d̪ ɸ o pʲ    	ɸ u pʰ u    	e̠ w pʲ    	r i ʕ    	f ɸ e̠ d̪    
265	3,00900900900918	23,1531531531541	s i t    	o s au pʲ    	f i cː    	t o n au m    	s ɛ̃ m f u pʲ    	cː s o pʲ    	s r u u    	a t pʲ    	i r m    	s f ɛ̃ cː    
266	-5,99999999999983	24,054054054055	s i w    	s o e d̪    	i f s    	w ə n e m    	s ɔˑ f m ia d̪    	s j ə d̪    	s ia b̥ ia    	ɔˑ w d̪    	b̥ i m    	f j ɔˑ s    
267	-5,09909909909893	16,3963963963973	i s rʲ    	o ɑˑ s r    	i f k    	rʲ o n ɑˑ m    	s f ʊː m u r    	k k o r    	s u r u    	rʲ ʊː r    	r i m    	f k ʊː k    
268	-8,25225225225208	23,1531531531541	i θ w    	o θ ɞ r    	ɕʲ i cː    	w e o n m    	θ m a ɕʲ u r    	cː t̪ o r    	θ r u u    	w a r    	r i m    	ɕʲ t̪ a cː    
269	-1,94594594594578	26,3063063063072	i s w    	o s e ɗ    	i vʲ k    	w ʃː o e m    	æ̃ s m vʲ uɔ ɗ    	o k j ɗ    	s ɗ aːu aːu    	æ̃ w ɗ    	ɗ i m    	vʲ j æ̃ k    
270	3,45945945945963	20,4504504504514	i tɕʰ t    	tɕʰ œː ə r    	i f b    	t n œː ə m    	a tɕʰ f m o r    	b œː j r    	r tɕʰ ɔ̃ː ɔ̃ː    	a t r    	r i m    	f j ɒ b    
271	-4,64864864864848	25,4054054054063	i s t    	s ɛ̃ o r    	i tɕʰ dʑ    	t ɛ̃ tɕ o m    	s ɛ̃ m tɕʰ ɔ̃ː r    	dʑ j ɛ̃ r    	r s ɔ̃ː ɔ̃ː    	t a r    	i r m    	tɕʰ j ɛ̃ dʑ    
272	4,36036036036053	24,5045045045054	n aːi ɔ    	ø g̊    ʈ ɛ    	ʉː dʷ    	ɛ k s sː    	aːi t ɔ    	t r uɔ    	v t oː    	ɔ tː a    	bʲ ɯi ɓ    	yː bʲ r a    
273	-8,25225225225208	23,6036036036045	i s t    	o s ɐu rʷ    	i z ⁿd    	t o n ɐu m    	a s z m ɔ̃ː rʷ    	ⁿd o sː rʷ    	s rʷ ɔ̃ː ɔ̃ː    	t a rʷ    	rʷ i m    	z ɒ sː ⁿd    
274	-10,0540540540539	17,2972972972982	ɲ i w    	ʌ o ɲ d̪    	i f k    	w o f ʌ ʡ    	ɲ ə m f u d̪    	k β o d̪    	ɲ r u u    	ə w d̪    	r i ʡ    	β f ə k    
275	2,55855855855873	20,9009009009018	ȵ aːi ɔ    	g̊ eː    ɛ ʑ    	ɧ ʉː    	ɛ s k sː    	aːi t ɔ    	t r uɔ    	t v oː    	tː ɔ a    	ɑi f ɓ    	f yː r a    
276	3,00900900900918	25,4054054054063	n aːi ɔ    	ɽ eː    	ɧ ʉː    	ɛ s k tɕ    	ɸ aːi ɔ    	ɸ r uɔ    	v ɸ œː    	ɔ tː a    	f ɛ m    	f r yː a    
277	-5,99999999999983	23,6036036036045	s ɑː kʼ    	o æ̃ tsʰ r    	ʒ ɑː cː    	kʼ iː n æ̃ m    	s a m ʒ u r    	cː s iː r    	s r u u    	a kʼ r    	r ɑː m    	ʒ a s cː    
278	-1,49549549549533	25,8558558558568	i s w    	s o ɑ̠ ʃʰ    	i ɭ k    	w ə n ɑ̠ m    	s ɔˑ m ɭ ɐː ʃʰ    	k ə kp ʃʰ    	s u b̥ u    	w ɔˑ ʃʰ    	i b̥ m    	ɭ kp ɔˑ k    
279	2,55855855855873	18,1981981981991	s i t    	s o ɐ r    	i f k    	t o gʱ i m    	a s m ɔ̃ː f r    	k o j r    	s r ɔ̃ː ɔ̃ː    	a t r    	r i m    	f j a k    
280	-3,74774774774758	30,3603603603613	ʀ i w    	u ʀ e r    	f i ŋ    	w u e w̃ m    	ʀ ə m f ɔ̃ r    	t̪ ɔ̃ ŋ r    	ʀ r u u    	w ə r    	i r m    	f t̪ ə ŋ    
281	-11,4054054054052	20,0000000000009	s au fʲ    	s o ă r    	f au cː    	fʲ o ă n m    	s m a u f r    	cː t̪ o r    	u s r u    	fʲ a r    	au r m    	f t̪ a cː    
282	-12,3063063063061	32,1621621621631	s i kʼ    	o tsʰ e β    	s i cː    	o d̪ʰ kʼ e m    	s ʌ s m aːi β    	cː s o β    	s β aːi aːi    	a kʼ β    	β i m    	s ʌ s cː    
283	1,65765765765783	23,1531531531541	s ɛi sʰ    	o s au pʲ    	f ɛi cː    	sʰ o au n ʂ    	s a ʂ f u pʲ    	cː s o pʲ    	s u r u    	a sʰ pʲ    	e˞ r ʂ    	s f a cː    
284	-4,64864864864848	33,063063063064	s i w    	s ɘ au sʲ    	f i sː    	w ɘ j au m    	s ɜ m f u sʲ    	s sː ɘ sʲ    	s r u u    	w ɜ c    	i r m    	s f ɜ sː    
285	-8,70270270270253	25,4054054054063	ə s w    	s o e r    	ə f cː    	w o e n m    	s a m f u r    	cː t̪ o r    	s r u u    	a w r    	r ə m    	f t̪ a cː    
286	-11,4054054054052	23,1531531531541	qχ i rʲ    	o ɑˑ qχ r    	i f k    	rʲ n o ɑˑ nʲ    	qχ ɔˑ nʲ f u r    	k o k r    	qχ u r u    	ɔˑ rʲ r    	r i nʲ    	f k ɔˑ k    
287	-5,09909909909893	28,5585585585595	s i w    	o s e ɗ    	i f k    	w ʃː o e m    	s æ̃ m f ẽ ɗ    	k o tʷ ɗ    	s ɗ i̟ i̟    	w æ̃ ɗ    	ɗ i m    	f tʷ æ̃ k    
288	-9,15315315315298	33,5135135135144	ʉ s kʼ    	o tsʰ e r    	ʒ ʉ cː    	o kʼ qʰ e m    	s a m ʒ e̞ r    	cː s o r    	s r e̞ e̞    	a kʼ r    	r ʉ m    	ʒ a s cː    
289	-8,70270270270253	33,9639639639649	s i w    	s o ɛ̃ ʃʰ    	i f k    	w ə n ɛ̃ m̩    	s ɔˑ m̩ f u ʃʰ    	ə k kp ʃʰ    	s b̥ u u    	w ɔˑ ʃʰ    	i b̥ m̩    	f kp ɔˑ k    
290	-11,8558558558557	25,8558558558568	s i w    	ɔ o s r    	f i k    	w o n ɔ m    	s ɔu m ɔu f r    	k k o r    	s m ɔu ɔu    	ɔu w r    	r i m    	f k ɔu k    
291	-9,60360360360343	33,063063063064	aɪ s w    	s o ɛ̃ ʃʰ    	aɪ f k    	w ə n ɛ̃ m    	s ɔˑ m f u ʃʰ    	k ə kp ʃʰ    	s b̥ u u    	ɔˑ w ʃʰ    	b̥ aɪ m    	kp f ɔˑ k    
292	-10,0540540540539	24,9549549549559	k i pʰ    	k o e r    	f i t̪    	wʲ o e n pʰ    	k a pʰ f u r    	t̪ o sʰ r    	k r u u    	wʲ a r    	i r pʰ    	f sʰ a t̪    
293	-12,3063063063061	22,2522522522532	d̪ i w    	o ɑˑ d̪ r    	f i k    	w o n ɑˑ m    	d̪ ā m f u ɸ    	k o k ɸ    	d̪ ā m u    	w ā ɸ    	r i m    	f k ā k    
294	-8,70270270270253	30,3603603603613	i s w    	o s œ d̪    	i x k    	o w x œ p    	s ə m x ɤː d̪    	k j o d̪    	s ɤː r u    	w ə d̪    	r i p    	x j ə k    
295	-9,60360360360343	23,1531531531541	s i w    	œ iə s θ    	i β k    	w iə β œ ʡ    	s ə m β u θ    	k j iə θ    	s r u u    	w ə θ    	r i ʡ    	j ə β k    
296	1,65765765765783	29,9099099099108	n aːi ä    	eː g̊    	k ʉː    	ã k s sː    	aːi t ä    	t r ou    	v t oː    	dʲ ä a    	f ɨ m    	f yː r a    
297	-11,4054054054052	29,9099099099108	s i w    	u s ə r    	f i cː    	w u n ə m    	s m ə f ɔ̃u r    	t̪ ɔ̃u cː r    	s r u u    	ə w r    	i r m    w u n ə m    	f t̪ ə cː    
298	-6,45045045045028	28,108108108109	i s jˀ    	s ɛ̃ ə r    	f i k    	jˀ ɛ̃ g ə m    	s a m f oˑ r    	k ɛ̃ j r    	s r oˑ oˑ    	a jˀ r    	i r m    	f j a k    
299	-9,60360360360343	26,3063063063072	s i ɹ    	s o e r    	f i ɕː    	w o e n ɹ    	s a ɹ f u r    	cː o tʲ r    	s r u u    	w a r    	i r ɹ    	f tʲ a ɕː    
300	3,45945945945963	26,7567567567577	n aːi ɔ    	ɓ ɛ    	aˑ ɧ    	ɛ s j sː    	t aːi ɔ    	t r uɔ    	t v ʏ    	β ɔ a    	ɨi f m    	f yː r ɤ    
301	-7,80180180180163	30,8108108108117	s i kʼ    	aː tsʰ e β    	s i cː    	aː kʼ n e m    	s ʌ m s u β    	cː s aː β    	β s u u    	a kʼ β    	β i m    	s ʌ s cː    
302	-8,25225225225208	19,5495495495505	i s ʈ    	o ɑˑ s r    	i f k    	ʈ o n ɑˑ m    	s ɔˑ f m u r    	k k o r    	s u r u    	ʈ ɔˑ r    	r i m    	f k ɔˑ k    
303	-10,5045045045043	29,4594594594604	s i w    	o s ɛ̃ ʝ    	i f k    	w ø n ɛ̃ m    	s ă m f a ʝ    	k kp ø ʝ    	s b̥ u u    	w ă ʝ    	i b̥ m    	f kp ă k    
304	1,20720720720738	29,4594594594604	n aːi ɔ    	ʀ eː    ɛ ʈ    	ɳ ʉː    	ɛ s k sː    	t aːi ɔ    	t ʃʰ uɔ    	v t ʏ    	tː ɔ a    	f ɨi mʷ    	f yː ʃʰ a    
305	-7,35135135135118	30,8108108108117	s i w    	o ɬ œ d̪    	i f k    		s tɬ ə f y d̪    	k j o d̪    	s ŋ u u    	ə w d̪    	i ŋ tɬ    	f j ə k    
306	1,65765765765783	23,6036036036045	r̃ i w    	o au r̃ kʷ    	i f ɹ    	w o ʈʂʰ au m    	r̃ a m f u kʷ    	ɹ r̃ o kʷ    	r̃ r u u    	a w ts    	r i m    	r̃ f a ɹ    
307	-7,80180180180163	31,7117117117126	s u t    	o ʈ ə r    	u f b    	t o n ə m    	a s f m ɔ̃ː r    	b o j r    	s r ɔ̃ː ɔ̃ː    	a t r    	r u m    	f j ɞ b    
308	-1,94594594594578	24,5045045045054	s i t    	s o ə r    	i f k    	t o z̩ i m    	a s m ɔ̃ː f r    	k o j r    	s ɔ̃ː r ɔ̃ː    	a t r    	r i m    	f j i k    
309	-10,5045045045043	23,1531531531541	i s mˀ    	s o a̤ː r    	i f cː    	mˀ o a̤ː n m    	s a m f u r    	cː t̪ o r    	s u r u    	a mˀ r    	r i m    	f t̪ a cː    
310	-4,64864864864848	28,5585585585595	s o̞ kʼ    	o tsʰ e r    	f o̞ cː    	o kʼ e n m    	s ʌ m f u r    	cː o s r    	s r u u    	ɛ̠ kʼ r    	r o̞ m    	f ʌ s cː    
311	-8,70270270270253	21,8018018018027	s au gː    	s o aː r    	f au cː    	o gː aː n m    	s m a f o r    	cː t̪ o r    	s r o o    	gː a r    	au r m    	f a t̪ cː    
312	-6,45045045045028	22,7027027027036	i s w    	eɪ s e pʲ    	f i cː    	w eɪ n e dʲ    	s ɑ dʲ f u pʲ    	s cː eɪ pʲ    	s u w u    	w ɑ pʲ    	w i dʲ    	s f ɑ cː    
313	-12,3063063063061	21,3513513513523	s oːu w    	o ɑˑ s r    	oːu f k    	w o n ɑˑ m    	s ɔˑ m f u r    	k k o r    	s u r u    	ɔˑ w r    	r oːu m    	f k ɔˑ k    
314	-13,207207207207	29,9099099099108	lʲ i m    	lʲ o e r    	f i cː    	w o e n m    	lʲ a m f ɪ r    	cː t̪ o r    	lʲ ɔ r ɔ    	w a r    	i r m    	f t̪ a cː    
315	-7,80180180180163	30,3603603603613	ɑː s w    	s o e ɗ    	ɑː f k    	w ʃː o e m    	a s m f ẽ ɗ    	k o j ɗ    	ɗ s ɔ̃ː ɔ̃ː    	w a ɗ    	ɑː ɗ m    	f j a k    
316	-8,70270270270253	29,0090090090099	s ʉ w    	āː s e r    	ʉ ŋː f    	āː w e n m    	s ə m ŋː āː r    	t̪ f āː r    	s r āː āː    	ə w r    	r ʉ m    	ŋː ə t̪ f    
317	4,36036036036053	25,4054054054063	n aːi aˑ    	eː g̊    ɛ ʈ    	n̊ ʉː    	ɛ s k sː    	aːi t aˑ    	t r uɔ    	v t oː    	aˑ tː a    	ɨ f m    	f yː r a    
318	-0,144144144143975	31,7117117117126	s i w    	o s ɛ̃ ʃʰ    	i f k    	w ə mː ɛ̃ m    	s ɔˑ m f ɐː ʃʰ    	k ə kp ʃʰ    	s b̥ u u    	w ɔˑ ʃʰ    	b̥ i m    	f kp ɔˑ k    
319	3,90990990991008	28,5585585585595	n aːi i    	ʀ eː    ɛ ɓ    	ɧ ʉː    	ɛ s j sː    	t aːi i    	t r i    	v t ʏ    	tː i a    	f ɨi m    	f yː r a    
320	-4,64864864864848	25,8558558558568	h i w    	h o e d̪    	i f h    	w ə n e m    	h õ f m ia d̪    	h ə b d̪    	h ia b̥ ia    	ɔˑ w d̪    	b̥ i m    	f b õ ʈː    
321	-1,04504504504488	23,6036036036045	i s t    	s au ə r    	i f k    	t au n i m    	a m s ɔ̃ː f r    	k au j r    	s ɔ̃ː r ɔ̃ː    	a t r    	r i m    	f j a k    
322	-1,49549549549533	29,4594594594604	s ɐ̆ w    	u s e pʲ    	f ɐ̆ cː    	w u n e m    	s aɯ m f ĩː pʲ    	cː s u pʲ    	s r ĩː ĩː    	aɯ w pʲ    	r ɐ̆ m    	s f aɯ cː    
323	-13,207207207207	19,0990990991	i s tː    	s o e r    	f i cː    	tː o e n m    	s a m ɑ̠ f r    	cː t̪ o r    	s ɑ̠ r u    	a tː r    	r i m    	t̪ a f cː    
324	-6,45045045045028	24,5045045045054	i s t    	s ɛ̃ o r    	i f k    	t ɛ̃ tɕ o m    	s a m f ɔ̃ː r    	k j ɛ̃ r    	r s ɔ̃ː ɔ̃ː    	a t r    	r i m    	f j a k    
325	-7,35135135135118	29,4594594594604	s i kʼ    	o tsʰ e β    	i s cː    	o d̪ʰ kʼ e lː    	s ʌ s m aːi β    	cː s o β    	s β aːi aːi    	a kʼ β    	β i lː    	s ʌ s cː    
326	-5,99999999999983	24,9549549549559	s i g    	o s u pʲ    	kʲ i cː    	g o n u m    	s ɨˤ m kʲ u pʲ    	cː s o pʲ    	s u r u    	ãi g pʲ    	r i m    	s kʲ ɨˤ cː    
327	2,10810810810828	29,0090090090099	n aːi ä    	g̊ eː    ʈ ī    	ˀw ʉː    	ī k s sː    	aːi t ä    	t r ou    	ʁ t oː    	dʲ ä a    	f ɨ ɲ̥    	f yː r a    
328	-7,80180180180163	25,4054054054063	s i w    	s u e r    	kʼ i cː    	w u e n m    	s ə m kʼ ɔ̃u r    	t̪ ɔ̃u cː r    	s r u u    	ə w r    	i r m    w u e n m    	kʼ t̪ ə cː    
329	-8,25225225225208	26,3063063063072	i s w    	s o e r    	f i k    	w o e n m    	s a m u f r    	k t̪ o r    	s r u u    	w a r    	r i m    	f t̪ a k    
330	-10,5045045045043	22,7027027027036	s i rʲ    	o ɑˑ s r    	f i k    	o rʲ n ɑˑ nʲ    	s nʲ ɨ̠ f ɨ̠ r    	k k ɑ̃ r    	s ɨ̠ r ɨ̠    	ɨ̠ rʲ r    	r i nʲ    	f k ɨ̠ k    
331	-7,80180180180163	28,5585585585595	i s w    	o s ɛ̃ d̪    	i f k    	w ø n ɛ̃ m    	s uɔ m f u d̪    	k kp ø d̪    	s b̥ u u    	w uɔ d̪    	i b̥ m    	f kp uɔ k    
332	4,36036036036053	28,108108108109	aːi n aˑ    	eː g̊    ɛ ʈ    	p ʉː    	ɛ s k sː    	aːi t aˑ    	t r uɔ    	ⁿd t oː    	aˑ tː a    	ɨ f m    	f yː r a    
333	-6,45045045045028	31,7117117117126	i s w    	əu s e r    	ŋː i cː    	w əu e n m    	s ə m ŋː əu r    	t̪ əu cː r    	s r əu əu    	ə w r    	r i m    	ŋː ə t̪ cː    
334	-3,29729729729713	29,4594594594604	ʀ yː w    	ʀ u e r    	f yː cː    	u w e n m    	ʀ ə m f ɔ̃ r    	t̪ ɔ̃ cː r    	r ʀ u u    	ə w r    	yː r m    	f t̪ ə cː    
335	2,55855855855873	30,3603603603613	s i w    	l eɪ e pʲ    	f i ʂ    	w ɑ̱ n e l    	s a l u f pʲ    	s ʂ ɑ̱ pʲ    	s u ʋ u    	a w pʲ    	i ʋ l    	s f a ʂ    
336	-1,04504504504488	30,3603603603613	s i w    	o s au kʷ    	f i cː    	w o j au m    	s a f m u kʷ    	cː s o kʷ    	s zʲ u u    	a w tʲ    	zʲ i m    	s f a cː    
337	2,55855855855873	25,8558558558568	i s t    	s o ə g    	i tsʰ k    	t o n ə m    	s ə̆ m tsʰ ɔ̃ː g    	k o j r    	r s ɔ̃ː ɔ̃ː    	ə̆ t r    	i r m    	tsʰ j ə̆ k    
338	-4,19819819819803	23,1531531531541	s i w    	o s ɛ̃ ʝ    	i f χ    	w ø tʰ ɛ̃ m    	s ă f m ʌ ʝ    	χ kp ø ʝ    	s b̥ u u    	ă w ʝ    	b̥ i m    	f kp ă χ    
339	-3,74774774774758	23,6036036036045	dː i n    	dː o o̞ː r    	i ŋ̩ k    	n o n o̞ː m    	ʊː m dː ŋ̩ ɔ̃ː r    	k o j r    	r dː ɔ̃ː ɔ̃ː    	ʊː n r    	i r m    	j ŋ̩ ɔʊ ˀl    
340	-2,84684684684668	27,2072072072081	zʲ i w    	u zʲ e r    	f i cː    	w u e n m    	zʲ ə m f ɔ r    	t̪ cː ɔ r    	zʲ u r u    	ə w r    	i r m    	f t̪ ə cː    
341	-4,64864864864848	20,9009009009018	s i t    	s o eˑ l    	i tɕʰ k    	t o eˑ n m    	ʊː s m tɕʰ ɔ̃ː l    	k o j l    	s l ɔ̃ː ɔ̃ː    	ʊː t l    	i l m    	j tɕʰ ʊː k    
342	-2,84684684684668	26,3063063063072	s i w    	o ɬ œ d̪    	i f k    		s ə m f y d̪    	k ʔ o d̪    	s u r u    	ə w d̪    	i r m    	f ʔ ə k    
343	0,756756756756926	24,5045045045054	r̃ i w    	o au r̃ kʷ    	i f cː    	w o j au m    	r̃ a m f u kʷ    	cː r̃ o kʷ    	r r̃ u u    	a w k    	r i m    	r̃ f a cː    
344	-5,09909909909893	27,6576576576586	s i t    	s o ə dʷ    	i f tʼ    	t n o ə bʰ    	a s f bʰ ɔ̃ː dʷ    	o tʼ j dʷ    	s dʷ ɔ̃ː ɔ̃ː    	a t dʷ    	au dʷ bʰ    	f j a tʼ    
345	-5,09909909909893	29,0090090090099	s i t    	o ʈ ə r    	i f b    	t o n ə m    	a s f m œː r    	b o j r    	r uo s uo    	a t r    	r i m    	f j ɒ b    
346	0,756756756756926	25,8558558558568	n aːi ɔ    	ø̠ ʈ    	ɧ ʉː    	ø̠ k s sː    	aːi t ɔ    	t r uɔ    	v t oː    	d ɔ a    	m̩ ɨ n̩    	m̩ yː r a    
347	4,81081081081098	24,054054054055	s ɑ˞ t    	s o ə r    	f ɑ˞ k    	n t o ɑ˞ m    	a s m f ɔ̃ː r    	k aː j r    	s r ɔ̃ː ɔ̃ː    	a t r    	r ɑ˞ m    	f j a k    
348	1,65765765765783	30,3603603603613	aːi n ɔ    	eː g̊    ʈ ɛ    	n̊ ʉː    	ɛ s k sː    	aːi t ɔ    	t r uɔ    	v t oː    	ɔ dʲ a    	f ɨ m    	f yː r a    
349	-13,207207207207	33,5135135135144	s əu w    	s āː e ȶ    	əu ŋː cː    	āː w e n m    	s ə m ŋː āː ȶ    	t̪ cː āː ȶ    	s ȶ āː āː    	ə w ȶ    	ȶ əu m    	ŋː ə t̪ cː    
350	3,00900900900918	31,7117117117126	aːi n ɔ    	eː ʀ    ɓ ɛ    	ɧ ʉː    	ɛ s j sː    	aːi t ɔ    	t r ɔ    	s t ʏ    	tː ɔ a    	f ɨi m    	f yː l̪ a    
351	-15,0090090090088	20,4504504504514	i s tː    	s o e r    	f i cː    	tː o e n m    	s iu m f u r    	cː t̪ o r    	s u r u    	iu tː r    	r i m    	t̪ f iu cː    
352	3,00900900900918	19,0990990991	i ɸ w    	o ɸ e pʲ    	i f d̪    	w o n e m    	ɸ e̠ m f u pʲ    	d̪ ɸ o pʲ    	ɸ u hː u    	e̠ w pʲ    	ŋ i m    	ɸ f e̠ d̪    
353	-8,25225225225208	31,2612612612622	āː s w    	s o e ʃ    	āː f k    	w ʃː e o m    	a m s f ũ ʃ    	k o j ʃ    	s ʃ ɔ̃ː ɔ̃ː    	w a ʃ    	āː ʃ m    	f a j k    
354	-7,35135135135118	21,8018018018027	i dː t    	dː o ə r    	i ŋ̩ k    	t o ɬ ə bː    	ĩ dː m ɔ̃ː ŋ̩ r    	k o j r    	r dː ɔ̃ː ɔ̃ː    	t ĩ r    	i r m    	ŋ̩ j ĩ k    
355	-6,45045045045028	29,0090090090099	s ie t    	o s ə dː    	ie f ⁿd    	t o χː ə m    	s a f m ɔ̃ː dː    	ⁿd o j r    	r s ɔ̃ː ɔ̃ː    	t a dː    	r ie m    	f j ɒ ⁿd    
356	-9,60360360360343	24,9549549549559	s i w    	o s u pʲ    	i kʲ cː    	w o n u m    	s ɨˤ m kʲ ə pʲ    	cː s o pʲ    	s ə r ə    	w ãi pʲ    	r i m    	s kʲ ɨˤ cː    
357	-11,8558558558557	28,108108108109	s u̥ rʲ    	o ɑˑ s r    	i f k    	rʲ o n ɑˑ nʲ    	nʲ s a f a r    	k k o r    	s a r a    	a rʲ r    	r u̥ nʲ    	f k a k    
358	-1,49549549549533	27,6576576576586	ʀ i w    	u ʀ e r    	f i cː    	u w qˀ e m    	ʀ ə m f ɔ̃ r    	t̪ ɔ̃ cː r    	r ʀ u u    	ə w r    	i r m    	f t̪ ə cː    
359	-10,5045045045043	25,4054054054063	i s w    	o s e r    	i f cː    	w e o n m    	s m aːu f u r    	cː t̪ o r    	s r u u    	w aːu r    	r i m    	f t̪ aːu cː    
360	-1,49549549549533	25,4054054054063	i s t    	s œː ə r    	f i b    	œː t n ə m    	a s f m o r    	b œː j r    	s r ɔ̃ː ɔ̃ː    	a t r    	r i m    	j f ɒ b    
361	2,55855855855873	26,3063063063072	n aːi ɔ    	eː g̊    ʈ ɛ    	ɧ ʉː    	ɛ k s sː    	aːi t ɔ    	r t uɔ    	t v oː    	ɔ tː a    	bʲ ɯi ɓ    	bʲ ə r a    
362	-5,09909909909893	31,7117117117126	s ĩ w    	o s e ɗ    	ĩ x ɕʲ    	w ʃː o e m    	æ̃ s m x uɔ ɗ    	o ɕʲ j ɗ    	s ɗ ɔ̃ː ɔ̃ː    	w æ̃ ɗ    	ɗ ĩ m    	x j æ̃ ɕʲ    
363	-11,8558558558557	32,6126126126135	s i w    	o ɬ œ d̪    	i f k    		s m ə f y d̪    	k j o d̪    	s r u u    	ə w d̪    	i r m    	f j ə k    
364	-14,1081081081079	26,7567567567577	i s t    	ɛ̃ s o t͈    	i f k    	t ɛ̃ dʒ o m    	s a m f ɔ̃ː t͈    	k j ɛ̃ t͈    	t͈ s ɔ̃ː ɔ̃ː    	a t t͈    	t͈ i m    	f j a k    
365	-10,0540540540539	30,8108108108117	s i kʼ    	o tsʰ e β    	s i cː    	o d̪ʰ kʼ e lː    	s ʌ s m aːi β    	cː s o β    	s β aːi aːi    	a kʼ β    	β i lː    	s ʌ s cː    
366	-7,80180180180163	29,9099099099108	i r w    	əu r e r    	i ŋː cː    	w əu e n m    	r ə m əu ŋː r    	t̪ əu cː r    	r r əu əu    	ə w r    	i r m    	ŋː t̪ ə cː    
367	1,65765765765783	31,2612612612622	aːi n ɔ    	eː g̊    ɛ ʈ    	n̊ ʉː    	ɛ ʃː k sː    	t aːi ɔ    	t r uɔ    	v t oː    	dʲ ɔ a    	p ɨ m    	p yː r a    
368	-11,8558558558557	29,0090090090099	i s w    	s o e r    	f i cː    	w o e n m    	s a m f ʊ r    	cː t̪ o r    	r s u u    	w a r    	r i m    	f t̪ a cː    
